Abstract  A quartz crystal microbalance (QCM) sensor for selenite ions in aqueous solution was constructed based on crystal formation of cadmium selenite, immobilized with a self-assembly monolayer (SAM) of phosphorylated 11-mercapto-1-undecanol (MUD) on a QCM gold electrode surface. The mass change caused by the selective adsorption of selenite ions on the cadmium selenite crystals at the solid/solution interface was detected by the QCM. The response (−ΔF) of the modified QCM oscillator increased with increasing selenite ion concentrations in sample solutions, ranging from 9.7×10−5 to 9.0×10−4 M at pH 7.4. The synthetic process of anchoring cadmium selenite crystals on the phosphorylated MUD organic film was also followed by using X-ray photoelectron spectroscopy (XPS) and atomic force microscopy (AFM). The atomic concentrations measured by XPS confirmed the crystal growth of cadmium selenite on the phosphorylated MUD SAM at the QCM gold electrode surface. From the AFM images, changes in surface topographic features were followed: the MUD SAM and phosphorylated MUD on the QCM gold electrode had similar surface roughness; however the difference for the cadmium selenite film on the phosphorylated MUD SAM was clearly seen. The observed QCM frequency change of the modified QCM oscillator per unit time was found to be proportional to the square of the supersaturation of cadmium selenite, indicating the crystal growth of cadmium selenite at the solid/solution interface. The modified QCM oscillator exhibited selectively strong QCM response to SeO3 2− ion. In contrast, the responses to tested interfering anions were almost negligible. The order of anion selectivities of the present modified QCM sensor was SeO3 2−≫CO3 2−>SeO2− 4, SO4 2−, Br−, I−, NO3 −. These selectivities were basically attributable to the differences in solubility products and solubilities for the salts of each anion with cadmium (II) ion.
oscillator          0.9999699511617132^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Oscillation           

ion                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ion                   

QCM                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Quartz_crystal_microbalance

SeO3                          0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Selenium_trioxide     

selenite                      0.9999701186933476^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Selenous_acid         

selenite                      0.9999701186933476^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Selenous_acid         

anion                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ion                   

frequency                     0.9999938732681914^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Frequency             

anions                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ion                   

SAM                           0.9408227477385622^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Surface-to-air_missile

selenite                      0.9999701186933476^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Selenous_acid         

XPS                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/X-ray_photoelectron_spectroscopy

ions                          0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ion                   

cadmium                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cadmium               

cadmium                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cadmium               

cadmium                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cadmium               

SAM                           0.9408227477385622^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Surface-to-air_missile

phosphorylated                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phosphorylation       

MUD                           0.999979839732481^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/MUD                   

adsorption                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Adsorption            

