Abstract  We followed the colonization frequency of ectomycorrhizal (EM), vesicular-arbuscular mycorrhizal (VAM), and dark septate (DS) fungi in 1- to 5-month-old bishop pine seedlings reestablishing after a wildfire. Seedlings were collected on a monthly basis at either a VAM-dominated chaparral scrub site or an EM-dominated forest site, both of which were burned. In both vegetation types, fully developed EM were observed from the third month after germination. EM fungi observed on the seedlings from the scrub site were limited to Rhizopogon subcaerulescens, R. ochraceorubens and Suillus pungens. Seedlings from the forest were colonized by a greater variety of EM fungi including Amanita spp., Russula brevipes and a member of the Cantharellaceae. VAM structures (vesicles, arbuscules or hyphal coils) were observed in the seedling root systems beginning 1 month after germination at the scrub site and 3 months after germination at the forest site. Seedlings from the scrub site consistently had more frequent VAM fungal colonization than those from the forest site through the fifth month after germination. DS fungi were observed in most seedlings from both the scrub and forest sites beginning in the first month post-germination. We propose that these fungi survived as a resident inoculum in the soils and did not disperse into the sites after the fire.
Seedlings           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Seedling              

arbuscules                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Arbuscular_mycorrhiza 

Seedlings                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Seedling              

germination                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Germination           

fungi                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fungus                

Russula brevipes              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Russula_brevipes      

inoculum                      0.9359698051793282^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Microbiological_culture

VAM                           0.7093733381357703^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/White_Aryan_Resistance_(Sweden)

wildfire                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Wildfire              

mycorrhizal                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mycorrhiza            

seedlings                     0.687234420469514^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Seedling              

vesicles                      0.999998390827544^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Vesicle_(biology_and_chemistry)

germination                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Germination           

Seedlings                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Seedling              

root systems                  0.9999999999972715^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Root                  

scrub                         0.8775106152568228^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Deserts_and_xeric_shrublands

chaparral                     0.9999999994840891^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chaparral             

fungi                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fungus                

EM                            0.7036613178248441^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electromagnetic_radiation

hyphal                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hypha                 

bishop pine                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Bishop_Pine           

DS                            0.9989077001708634^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nintendo_DS           

germination                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Germination           

frequency                     0.9996119410566379^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Frequency             

scrub                         0.8775106152568228^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Deserts_and_xeric_shrublands

DS                            0.9989077001708634^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nintendo_DS           

fungi                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fungus                

fungal                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fungus                

Rhizopogon                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Rhizopogon            

scrub                         0.8775106152568228^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Deserts_and_xeric_shrublands

fungi                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fungus                

EM                            0.7036613178248441^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electromagnetic_radiation

seedling                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Seedling              

seedlings                     0.687234420469514^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Seedling              

