Abstract  Background: Simple basic visual perception may be restored by epiretinal electrical stimulation in patients that are blind due to photoreceptor loss. To stimulate ganglion cells, epiretinally flat platinum microelectrodes embedded in thin polyimide film were developed and tested in the cat. Methods: After remo-val of the lens and the vitreous body a thin microfilm electrode array was implanted through a corneoscleral incision in the cat eye (n=4). In two eyes no further attempt was made to fixate the tip of the electrode, which was pressed onto the retinal surface due to the tension of the curved polyimide film. In two eyes the tip of the electrode was fixed with cyanoacrylate adhesive. The exterior part of the microelectrode film was directed under the skin towards the forehead which allowed fixation of the microplug to a head fixation bolt. Retinal stimulation experiments were performed within 1 week after implantation. Success of stimulation was assessed by recording neuronal activities from areas 17 and 18. Retinal microelectrodes were removed 2 weeks or longer after implantation. Results: Intraocular inflammation or retinal detachment were not observed after implantation of the microelectrode film. In two eyes the tip of the microelectrodes dislocated spontaneously within the first few days. The lowest threshold of electrical stimulation was 35 µA, corresponding to a charge transfer of 14 nC per phase. These values were ten times higher than those obtained by needle electrodes used in prior experiments. Conclusions: Intraocular implanted flat microelectrodes made of platinum and polyimide were well tolerated. Because of the flat configuration of the microelectrodes higher stimulation thresholds than for needle electrodes were found, indicating insufficient con-tact to the retinal surface. An alter-native shape and fixation technique is required to minimise electrodes’ threshold of stimulation.
microfilm           0.9999998747066535^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Microform             

polyimide                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Polyimide             

electrodes                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electrode             

electrode                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electrode             

charge transfer               0.7451839537784848^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Charge-transfer_complex

film                          0.9999061497976304^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Photographic_film     

electrical stimulation        0.99995017323811^^http://www.w3.org/2001/XMLSchema#double             http://dbpedia.org/resource/Functional_electrical_stimulation

fixation                      0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fovea_centralis       

electrodes                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electrode             

implantation                  0.9805318570830207^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Implant_(medicine)    

microelectrode                0.9999999970207227^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electrode             

polyimide                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Polyimide             

implantation                  0.9805318570830207^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Implant_(medicine)    

microelectrodes               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Multielectrode_array  

ganglion cells                0.9982268261780862^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ganglion_cell         

fixation                      0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fovea_centralis       

microelectrodes               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Multielectrode_array  

implantation                  0.9805318570830207^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Implant_(medicine)    

neuronal                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Neuron                

polyimide                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Polyimide             

lens                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Lens_(anatomy)        

platinum                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Platinum              

needle                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Surgical_suture       

eye                           0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Human_eye             

photoreceptor                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Photoreceptor_cell    

retinal                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Retina                

electrical stimulation        0.99995017323811^^http://www.w3.org/2001/XMLSchema#double             http://dbpedia.org/resource/Functional_electrical_stimulation

electrode                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electrode             

microelectrodes               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Multielectrode_array  

cyanoacrylate                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cyanoacrylate         

bolt                          0.9999947898256084^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Screw                 

skin                          0.999999999970214^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Skin                  

film                          0.9999061497976304^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Photographic_film     

vitreous body                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Vitreous_humour       

electrode array               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electrode_array       

platinum                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Platinum              

cat                           0.9999999999949978^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cat                   

