Abstract News media allows audiences to be selective in determining both their news sources and type of news stories they read. This study examined factors influencing selective exposure to the online editions of two mainstream Malaysian newspapers, Berita Harian and Utusan Malaysia. Using selective exposure theory as the theoretical lens, this study compared both newspapers in terms of their audiences’ level of surveillance motivation, and how audiences rate the newspapers’ websites with respect to usability and attractiveness. This study used a within-subject experimental research design that exposed 51 subjects to both Berita Harian and Utusan Malaysia online newspapers. The results of the experiment indicate that Berita Harian and Utusan Malaysia online were significantly different in terms of website usability; however, no significant differences were found in terms of surveillance motivation or website attractiveness between the two newspapers. Further analysis indicate that the only significant predictor of selective exposure was website usability. This study highlights the importance of website usability for online newspapers wanting to harness audience selectivity.
lens                0.9067498192896756^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Lens_(optics)         

newspapers                    0.9999999999207603^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Newspaper             

selective exposure            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Selective_exposure_theory

usability                     0.9999879974631758^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Usability             

usability                     0.9999879974631758^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Usability             

motivation                    0.9999984424182082^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Motivation            

selective exposure theory     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Selective_exposure_theory

surveillance                  0.9969882129585562^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Surveillance          

surveillance                  0.9969882129585562^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Surveillance          

online newspapers             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Online_newspaper      

online newspapers             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Online_newspaper      

usability                     0.9999879974631758^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Usability             

harness                       0.596985697512692^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Safety_harness        

Berita Harian                 0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Berita_Harian         

Malaysian                     0.8097475623470399^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Malaysia              

usability                     0.9999879974631758^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Usability             

Utusan Malaysia               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Utusan_Malaysia       

Berita Harian                 0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Berita_Harian         

newspapers                    0.9999999999207603^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Newspaper             

selectivity                   0.9999732395946901^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Discrimination        

newspapers                    0.9999999999207603^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Newspaper             

selective exposure            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Selective_exposure_theory

News media                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/News_media            

Utusan Malaysia               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Utusan_Malaysia       

Utusan Malaysia               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Utusan_Malaysia       

motivation                    0.9999984424182082^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Motivation            

newspapers                    0.9999999999207603^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Newspaper             

Berita Harian                 0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Berita_Harian         

