Abstract Abstract  The biology of two important lepidopterous pests, Prays oleae Bernard and Palpita unionalis Hübner, was studied. The target pests were reared on olive plants, Oleae europaea L. (Oleaceae) under laboratory conditions for two successive generations, from March to June 2002. For P. oleae, the duration of larval stage development in the first generation was 21.4 ± 0.18 days at 19.3–20.9 °C, 65–68 % R.H, while in the second generation it was 14.8 ± 0.10 days at 20.8–24.2 °C, 65–69 % R.H. The number of eggs laid per female ranged from 58 to 109 eggs in the first generation, and from 47 to 113 in the second. The larval stage duration of P. unionalis was 16.3 ± 0.12 days at 16.8–22.9 °C, 65–69 % R.H. and 15.5 ± 0.12 days at 21.6–25.5 °C, 66–69 % R.H. for the first and second generations, respectively. Also, the number of eggs laid per female ranged from 630 to 653 eggs, and from 425 to 493 eggs in the second generation under the same previous laboratory conditions. P. oleae laid eggs at night mostly singly on flower-buds, more on the calyx. than on the petals. The larvae mined on leaves and damaged groups of flowers. P. unionalis adults were active at night, laid eggs singly at twilight usually on the lower surface of foliage. Larvae fed on leaves spinning several leaves together to form shelter for the pupa.
larval              0.9999999999918145^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Larva                 

pupa                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pupa                  

lepidopterous                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Lepidoptera           

laboratory                    0.9984652924061026^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Laboratory            

leaves                        0.9999999999874944^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Leaf                  

larvae                        0.9999999999663487^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Larva                 

leaves                        0.9999999999874944^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Leaf                  

petals                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Petal                 

spinning                      0.9917934460947488^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Spinning_(textiles)   

eggs                          0.9999999612209657^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Egg_(biology)         

Larvae                        0.9999999999711235^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Larva                 

Oleaceae                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Oleaceae              

eggs                          0.9999999612209657^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Egg_(biology)         

eggs                          0.9999999612209657^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Egg_(biology)         

Hübner                        0.8418078032348684^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Jacob_Hübner          

larval                        0.9999999999918145^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Larva                 

calyx                         0.999202697817796^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Flower                

eggs                          0.9999999612209657^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Egg_(biology)         

eggs                          0.9999999612209657^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Egg_(biology)         

biology                       0.9997204443874695^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biology               

pests                         0.999999999996362^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Pest_(organism)       

eggs                          0.9999999612209657^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Egg_(biology)         

pests                         0.999999999996362^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Pest_(organism)       

Prays oleae                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Prays_oleae           

plants                        0.9206819728789123^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Aquatic_plant         

twilight                      0.9999999999893134^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Twilight              

leaves                        0.9999999999874944^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Leaf                  

foliage                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Leaf                  

eggs                          0.9999999612209657^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Egg_(biology)         

Palpita unionalis             0.9999999963008577^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Palpita_vitrealis     

flowers                       0.9999999749729799^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Flower                

laboratory                    0.9984652924061026^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Laboratory            

