Abstract  Low loss, tunable dielectric materials are important for phased array antenna and other device applications. Various composites of barium strontium titanium oxide (BSTO) combined with other nonelectrically active oxide ceramics have been formulated for such uses. The dielectric constant and the loss tangents of these composites have been reduced to enhance the overall impedance matching and thereby lowering the overall insertion loss of the device. The material has been fabricated in bulk ceramic, thick film, and thin film form to address a broad range of frequency applications. The material fabrication methods and the electronic properties of these composites will be discussed in this article.
thin film           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Thin_film             

titanium oxide                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Titanium_dioxide      

insertion loss                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Insertion_loss        

ceramic                       0.9678984557285416^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ceramic               

dielectric                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Dielectric            

antenna                       0.9999745487689267^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Antenna_(radio)       

barium                        0.9999998538585366^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Barium                

ceramics                      0.9961422495857448^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ceramic               

phased array                  0.9174637451496095^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Phased_array          

strontium                     0.9999999978007281^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Strontium             

impedance matching            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Impedance_matching    

