Abstract  The paper proposes a new neuro-genetic hybrid algorithm (NGHA) for coping with ill-conditioned time-series processes. Extensive testing and comparisons to various heteroskedastic models indicate that the neuro-genetic algorithm may be a useful device for modelling complicated time series. NGHA is used to model a factor price series corresponding to the European factor of a representative set of global asset returns. NGHA provides a platform for adapting evolutionary computation to the search for suitable networks for observed time series.
heteroskedastic     0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Heteroscedasticity    

asset                         0.9993973270524833^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Asset                 

evolutionary computation      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Evolutionary_computation

coping                        0.9999713898949991^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Coping_(psychology)   

algorithm                     0.9999999999998295^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Algorithm             

time-series                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Time_series           

time series                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Time_series           

time series                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Time_series           

ill-conditioned               0.9999999894600365^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Condition_number      

European                      0.8896726889825606^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Europe                

hybrid algorithm              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hybrid_algorithm      

